año,mes,Id_suc,Formato,VentaTotal,VentaOftálmico,VentaSolar,VentaLenteContacto,VentaOtros,Descuento_Oftálmico,Descuento_Solar,Descuento_LenteContacto,Descuento_Otros,mes_num,fecha
2022,enero,1,E,71.30555575,20.11815151,16.51613324,17.48124932,17.19002167,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,2,E,67.36818835,19.20634329,15.91866863,16.51693888,15.72623755,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,3,C,72.13569567,20.3289365,16.31069752,17.66665766,17.829404,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,4,E,68.55898965,19.23747374,16.33771299,16.87454622,16.1092567,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,5,E,66.41880896,18.92213459,14.61436819,16.87894821,16.00335797,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,6,E,64.53949979,18.42482216,13.981025,16.5218927,15.61175993,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,7,E,65.47624989,18.5699969,15.07907215,15.6952809,16.13189993,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,8,E,70.14654576,19.77426853,16.41411785,17.18394367,16.77421571,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,9,E,67.59529241,18.85630641,15.4447511,17.0140204,16.2802145,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,10,C,69.08770383,19.37150816,15.98912527,16.85798328,16.86908712,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,11,E,66.65197405,19.18826727,14.75512712,16.42513908,16.28344058,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,12,E,70.13453491,19.44844487,16.24402321,17.38760335,17.05446348,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,13,E,68.3914015,19.2421068,15.792227,16.63307265,16.72399506,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,14,E,71.02263537,19.87378292,16.48820988,17.35272374,17.30791882,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,15,C,72.4305885,20.36643088,17.37396807,17.31522509,17.37496446,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,16,E,70.71391585,19.7359006,16.65838298,17.21957051,17.10006176,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,17,E,66.92034042,19.11096383,15.16436262,16.51895015,16.12606382,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,18,E,68.40123658,19.18864315,15.50579086,16.83084936,16.87595321,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,19,E,70.77518487,19.88130537,16.06184271,17.53025267,17.30178411,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,20,E,69.89407438,19.5050724,16.20939781,16.85874645,17.32085772,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,21,E,68.1557189,18.99160379,16.22335616,16.68647294,16.25428601,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,22,E,72.50334954,20.10786643,17.07106541,17.90034336,17.42407435,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,23,E,66.74489286,18.64905857,15.34957816,16.51438546,16.23187067,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,24,E,63.6547168,17.90261229,14.10444185,16.03623462,15.61142804,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,25,E,66.91136978,18.56926453,15.45664092,16.41953269,16.46593165,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,26,C,70.84548548,19.70667399,17.20162814,16.75244779,17.18473556,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,27,E,71.04324247,19.56312489,17.02619291,17.18734778,17.26657689,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,28,E,67.53824135,19.21185713,15.430135,16.71489712,16.1813521,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,29,E,66.26121325,18.79976081,15.50449875,15.8520446,16.10490909,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,30,E,66.65754336,18.83141859,14.48692325,16.82622996,16.51297156,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,31,C,68.71595259,19.60356065,16.09605452,17.10945675,15.90688067,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,32,E,68.91788271,19.2230948,15.88628969,16.71407092,17.0944273,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,33,E,69.19861011,19.99038357,15.76156355,16.9191102,16.52755278,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,34,E,67.81981008,19.40641171,16.00189886,16.349128,16.0623715,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,35,E,70.19554056,19.6313918,16.89342172,17.10111001,16.56961703,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,36,E,67.62533451,18.97542755,15.42314685,16.59835897,16.62840114,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,37,E,72.9912745,20.12199568,17.6155288,17.52326083,17.73048919,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,38,E,65.116703,19.06802479,14.28238429,16.37118628,15.39510763,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,39,E,68.73090796,19.30248769,16.38705351,16.37359022,16.66777654,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,40,E,68.38779046,19.14339158,15.88275299,16.61771876,16.74392712,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
2022,enero,41,E,65.52608869,18.74322066,13.88968996,16.72410417,16.1690739,0.4,0.3,0.2,0.09,1,01/01/2022 00:00
